Categories,Dates,Events,Venues
Town Hall,Sat Aug 26 2017,"Jared Polis (Democratic) Colorado, CO-2",Fossil Ridge High School
Town Hall,Sat Aug 26 2017,"Jared Polis (Democratic) Colorado, CO-2",Wellington Leeper Community Center
Empty Chair Town Hall,Sat Aug 26 2017,"Duncan Hunter (Republican) California, CA-50",Cuyamaca College
Town Hall,Sun Aug 27 2017,"Glenn Grothman (Republican) Wisconsin, WI-6",Mt. Calvary Village Hall
Town Hall,Sun Aug 27 2017,"Glenn Grothman (Republican) Wisconsin, WI-6",The Watermark Community Center
Town Hall,"Mon, Aug 28 2017","Brenda Lawrence (Democratic) Michigan, MI-14",Greater Grace Temple
Town Hall,Mon Aug 28 2017,"Glenn Grothman (Republican) Wisconsin, WI-6",River Hills Village Hall
Town Hall,Mon Aug 28 2017,"Peter DeFazio (Democratic) Oregon, OR-4",Bandon Public Library
Town Hall,Mon Aug 28 2017,"Glenn Grothman (Republican) Wisconsin, WI-6","Frank L Weyenberg Library, Tolzman Community Room"
Town Hall,Mon Aug 28 2017,"Glenn Grothman (Republican) Wisconsin, WI-6",Cedarburg Police Department
Town Hall,Mon Aug 28 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Team Church
Town Hall,Mon Aug 28 2017,"Glenn Grothman (Republican) Wisconsin, WI-6","Port Washington City Hall, City Council Chambers"
Town Hall,Mon Aug 28 2017,"Peter DeFazio (Democratic) Oregon, OR-4","SW Oregon Community College, Hales Center"
Town Hall,Tue Aug 29 2017,"Glenn Grothman (Republican) Wisconsin, WI-6",Fall River Village Hall
Town Hall,Tue Aug 29 2017,"Bradley Byrne (Republican) Alabama, AL-1",Monroeville City Hall
Town Hall,Tue Aug 29 2017,"Glenn Grothman (Republican) Wisconsin, WI-6","Portage City Hall, City Council Chambers"
Office Hours,Tue Aug 29 2017,"Ami Bera (Democratic) California, CA-7",Folsom Public Library
Town Hall,Tue Aug 29 2017,"Tom Cole (Republican) Oklahoma, OK-4",Great Plains Technical Center; Main Auditorium
Office Hours,Tue Aug 29 2017,"Ami Bera (Democratic) California, CA-7",Folsom Public Library
Town Hall,Tue Aug 29 2017,"Bradley Byrne (Republican) Alabama, AL-1",Atmore City Hall
Town Hall,Tue Aug 29 2017,"Chuck Grassley (Republican) Iowa, Senate",Primghar Community Building
Town Hall,Tue Aug 29 2017,"Peter DeFazio (Democratic) Oregon, OR-4",Siuslaw Middle School Auditorium
Town Hall,Tue Aug 29 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Wingate University’s McGee Center:
Town Hall,Tue Aug 29 2017,"Gene Green (Democratic) Texas, TX-29",North Shore Community Fellowship of Faith Church
Town Hall,Tue Aug 29 2017,"Danny K. Davis (Democratic) Illinois, IL-7",Broadview Village Hall
Town Hall,Tue Aug 29 2017,"Karen Bass (Democratic) California, CA-37",Culver City Senior Center
Town Hall,Wed Aug 30 2017,"Chuck Grassley (Republican) Iowa, Senate",Sibley Senior Center
Town Hall,Wed Aug 30 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Anson County Government Center
Office Hours,Wed Aug 30 2017,"Tom Rice (Republican) South Carolina, SC-7",Coward City Hall – Court Room
Town Hall,Wed Aug 30 2017,"Bradley Byrne (Republican) Alabama, AL-1",Crossroads Volunteer Fire Department
Town Hall,Wed Aug 30 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Rockingham City Hall
Office Hours,Wed Aug 30 2017,"Tom Rice (Republican) South Carolina, SC-7",Timmonsville Library – Meeting Room
Town Hall,Wed Aug 30 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Scotland County Emergency Operations Center
Town Hall,Wed Aug 30 2017,"Bradley Byrne (Republican) Alabama, AL-1",Prichard City Hall
Town Hall,Wed Aug 30 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Lumberton City Hall
Town Hall,Wed Aug 30 2017,"William Keating (Democratic) Massachusetts, MA-9",UNIVERSITY OF MASSACHUSETTS SCHOOL OF LAW MOOT COURTROOM
Town Hall,"Wed, Aug 09, 2017","Theodore E. Deutch (Democratic) Florida, FL-22",Holiday Park Social Center
Town Hall,Wed Aug 30 2017,"Theodore E. Deutch (Democratic) Florida, FL-22",Holiday Park Social Center
Town Hall,"Wed, Aug 30 2017","Jackie Speier (Democratic) California, CA-14",San Francisco Zoo
Town Hall,Wed Aug 30 2017,"Theodore E. Deutch (Democratic) Florida, FL-22",Holiday Park Social Center
Town Hall,Wed Aug 30 2017,"Joaquin Castro (Democratic) Texas, TX-20",Burbank High School
Town Hall,Thu Aug 31 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Fayetteville City Hall
Office Hours,Thu Aug 31 2017,"Tom Rice (Republican) South Carolina, SC-7",Hartsville City Hall – City Council Chamber
Town Hall,"Thu, Aug 10, 2017","Theodore E. Deutch (Democratic) Florida, FL-22",The Volen Center
Town Hall,Thu Aug 31 2017,"Theodore E. Deutch (Democratic) Florida, FL-22",Mae Volen Senior Center
Town Hall,Thu Aug 31 2017,"Theodore E. Deutch (Democratic) Florida, FL-22",The Volen Center
Town Hall,Thu Aug 31 2017,"Chuck Grassley (Republican) Iowa, Senate",Mapleton Community Center
Town Hall,"Thu, Aug 31 2017","Rick Larsen (Democratic) Washington, WA-2",Bellingham Senior Activity Center
Town Hall,Thu Aug 31 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Cape Fear Farmer’s Market
Office Hours,Thu Aug 31 2017,"Tom Rice (Republican) South Carolina, SC-7",Darlington City Municipal Court Building – Old City Hall Council Chamber
Town Hall,Thu Aug 31 2017,"Chuck Grassley (Republican) Iowa, Senate",Harlan Community Library
Town Hall,"Thu, Aug 31 2017","Rick Larsen (Democratic) Washington, WA-2",Homage Senior Services' Center for Healthy Living
Town Hall,Thu Aug 31 2017,"Steve Pearce (Republican) New Mexico, NM-2",missing
Town Hall,Thu Aug 31 2017,"John Faso (Republican) New York, NY-19",Esopus Town Hall
Town Hall,Thu Aug 31 2017,"Robert Pittenger (Republican) North Carolina, NC-9",Providence High School
Town Hall,Thu Aug 31 2017,"Joe Barton (Republican) Texas, TX-6",Cooper Street YMCA
Town Hall,Thu Aug 31 2017,"Beto O'Rourke (Democratic) Texas, TX-16",San Jacinto Plaza
Town Hall,"Fri, Sep 1, 2017","Mike Thompson (Democratic) California, CA-5",Crockett Community Services District
Office Hours,Tue Sep 05 2017,"Tom Graves (Republican) Georgia, GA-14",Administrative Building “Commissioners Meeting Room”
Office Hours,Tue Sep 05 2017,"Tom Graves (Republican) Georgia, GA-14",Administrative Building “Commissioners Meeting Room”
Town Hall,Tue Sep 05 2017,"Matt Cartwright (Democratic) , PA-17",Schuylkill Haven Recreation Department
Office Hours,Tue Sep 05 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex I
Office Hours,Tue Sep 05 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex I
Town Hall,Sat Sep 09 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Town Hall,Sat Sep 09 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Town Hall,Sat Sep 09 2017,"Ed Perlmutter (Democratic) Colorado, CO-7",Natural Grocers
Town Hall,Sat Sep 09 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Town Hall,Sat Sep 09 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14",Chattooga County Library (Meeting Room)
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14",Hinton Volunteer Fire Department
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14",Chattooga County Library (Meeting Room)
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14",Hinton Volunteer Fire Department
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14","Georgia Northwestern Technical College – Gordon County Campus Building 400, Room 4-103"
Office Hours,Tue Sep 12 2017,"Ami Bera (Democratic) California, CA-7",SPL - Carmichael Branch
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14","Georgia Northwestern Technical College – Gordon County Campus Building 400, Room 4-103"
Office Hours,Tue Sep 12 2017,"Ami Bera (Democratic) California, CA-7",SPL - Carmichael Branch
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14","Cedartown Municipal Complex, City Hall-City Council Room"
Office Hours,Tue Sep 12 2017,"Tom Graves (Republican) Georgia, GA-14","Cedartown Municipal Complex, City Hall-City Council Room"
Tele-Town Hall,Wed Sep 13 2017,"Mike Lee (Republican) Utah, Senate",missing
Tele-Town Hall,Wed Sep 13 2017,"Mike Lee (Republican) Utah, Senate",missing
Office Hours,Fri Sep 15 2017,"James McGovern (Democratic) , MA-2",North Quabbin Community Coalition
Town Hall,Fri Sep 15 2017,"Jared Huffman (Democratic) California, CA-2",DANCE PALACE
Tele-Town Hall,Mon Sep 18 2017,"Ed Perlmutter (Democratic) Colorado, CO-7",missing
Office Hours,Tue Sep 19 2017,"Ami Bera (Democratic) California, CA-7",SPL - Franklin Branch
Office Hours,Tue Sep 19 2017,"Ami Bera (Democratic) California, CA-7",SPL - Franklin Branch
Town Hall,Sun Sep 24 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Town Hall,Sun Sep 24 2017,"Jim Sensenbrenner (Republican) Wisconsin, WI-5",missing
Office Hours,Tue Sep 26 2017,"Ami Bera (Democratic) California, CA-7",SPL- Rancho Cordova Branch
Office Hours,Tue Sep 26 2017,"Ami Bera (Democratic) California, CA-7",SPL- Rancho Cordova Branch
Office Hours,Tue Oct 03 2017,"Tom Graves (Republican) Georgia, GA-14",Fairmount City Hall
Office Hours,Tue Oct 03 2017,"Ami Bera (Democratic) California, CA-7",SPL - Arden Dimick Branch
Office Hours,Tue Oct 03 2017,"Tom Graves (Republican) Georgia, GA-14",Fairmount City Hall
Office Hours,Tue Oct 03 2017,"Ami Bera (Democratic) California, CA-7",SPL - Arden Dimick Branch
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",County Administrative Building
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",Chattooga County Library (Meeting Room)
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",Chattooga County Library (Meeting Room)
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",County Administrative Building
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14","Cedartown Municipal Complex, City Hall-City Council Room"
Office Hours,Tue Oct 10 2017,"Tom Graves (Republican) Georgia, GA-14","Cedartown Municipal Complex, City Hall-City Council Room"
Office Hours,Tue Oct 17 2017,"Tom Graves (Republican) Georgia, GA-14",Hinton Volunteer Fire Department
Office Hours,Tue Oct 17 2017,"Tom Graves (Republican) Georgia, GA-14",Hinton Volunteer Fire Department
Office Hours,Tue Oct 17 2017,"Tom Graves (Republican) Georgia, GA-14","Georgia Northwestern Technical College – Gordon County Campus Building 400, Room 4-103"
Office Hours,Tue Oct 17 2017,"Ami Bera (Democratic) California, CA-7",SPL - Southgate Branch
Office Hours,Tue Oct 17 2017,"Ami Bera (Democratic) California, CA-7",SPL - Southgate Branch
Office Hours,Tue Oct 17 2017,"Tom Graves (Republican) Georgia, GA-14","Georgia Northwestern Technical College – Gordon County Campus Building 400, Room 4-103"
Tele-Town Hall,Wed Oct 18 2017,"Mike Lee (Republican) Utah, Senate",missing
Tele-Town Hall,Wed Oct 18 2017,"Mike Lee (Republican) Utah, Senate",missing
Office Hours,Fri Oct 20 2017,"James McGovern (Democratic) , MA-2",North Quabbin Community Coalition
Office Hours,Tue Oct 24 2017,"Tom Graves (Republican) Georgia, GA-14","Administrative Complex, Conference Room - 2nd floor"
Office Hours,Tue Oct 24 2017,"Tom Graves (Republican) Georgia, GA-14","Administrative Complex, Conference Room - 2nd floor"
Office Hours,Tue Oct 24 2017,"Ami Bera (Democratic) California, CA-7",SPL - Fair Oaks Branch
Office Hours,Tue Oct 24 2017,"Ami Bera (Democratic) California, CA-7",SPL - Fair Oaks Branch
Office Hours,Tue Oct 24 2017,"Tom Graves (Republican) Georgia, GA-14","Commissioners Office, Government Complex-Conference Room"
Office Hours,Tue Oct 24 2017,"Tom Graves (Republican) Georgia, GA-14","Commissioners Office, Government Complex-Conference Room"
Resistance Event,"Fri, Oct 27, 2017",Nasty Women of the North,missing
Office Hours,Tue Nov 07 2017,"Ami Bera (Democratic) California, CA-7",SPL - Sylvan Oaks Branch
Office Hours,Tue Nov 07 2017,"Ami Bera (Democratic) California, CA-7",SPL - Sylvan Oaks Branch
Tele-Town Hall,Wed Nov 08 2017,"Mike Lee (Republican) Utah, Senate",missing
Tele-Town Hall,Wed Nov 08 2017,"Mike Lee (Republican) Utah, Senate",missing
Office Hours,Tue Nov 14 2017,"Tom Graves (Republican) Georgia, GA-14",Administrative Building “Commissioners Meeting Room”
Office Hours,Tue Nov 14 2017,"Tom Graves (Republican) Georgia, GA-14",Administrative Building “Commissioners Meeting Room”
Office Hours,Tue Nov 14 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex I
Office Hours,Tue Nov 14 2017,"Tom Graves (Republican) Georgia, GA-14",Courthouse Annex I
Office Hours,Tue Nov 21 2017,"Ami Bera (Democratic) California, CA-7",SPL - Elk Grove Branch
Office Hours,Tue Nov 21 2017,"Ami Bera (Democratic) California, CA-7",SPL - Elk Grove Branch
Office Hours,Wed Dec 06 2017,"Ami Bera (Democratic) California, CA-7",SPL - Orangevale Branch
Office Hours,Wed Dec 06 2017,"Ami Bera (Democratic) California, CA-7",SPL - Orangevale Branch
Tele-Town Hall,Wed Dec 13 2017,"Mike Lee (Republican) Utah, Senate",missing
Tele-Town Hall,Wed Dec 13 2017,"Mike Lee (Republican) Utah, Senate",missing
Office Hours,Wed Dec 20 2017,"Ami Bera (Democratic) California, CA-7",SPL - Bookmobile
Office Hours,Wed Dec 20 2017,"Ami Bera (Democratic) California, CA-7",SPL - Bookmobile
Office Hours,"Fri, Jul 28, 2017","Ruben Kihuen (Democratic) Nevada, NV-4",Mizpah Hotel
